ID,GX,GY,Species,Tag,PrevStatus,PrevIDqual,PrevHt,Cell,PrevComments,StandID,Plot,PrevYear
106000487,64,27,BENE,48955,1,S,53,G8,,BURNED,623,2023
106000488,71,59,PSME,47694,7,S,,H5,,BURNED,635,2023
106000489,29,6,BENE,48919,9,S,,C10,,BURNED,622,2023
106000490,86,63,CESA,43174,2,S,35,I6,,BURNED,606,2023
106000491,23,32,BENE,11289,2,S,25,C7,,BURNED,623,2023
106000492,23,16,CEVE,48464,6,S,,C9,,BURNED,609,2023
106000493,31,7,BENE,12365,1,S,48,D10,,BURNED,622,2023
106000494,18,57,PSME,48893,6,S,,B5,,BURNED,619,2023
106000495,24,66,PSME,48816,1,S,86,C4,,BURNED,624,2023
106000496,39,42,VAPA,12357,1,S,35,D6,Stress multi,BURNED,636,2023
106000497,48,65,PSME,PSME2301,2,S,26,E4,Ts,BURNED,624,2023
106000498,14,43,CEVE,48462,6,S,,B6,,BURNED,622,2023
106000499,29,19,BENE,12396,1,S,55,C9,,BURNED,623,2023
106000500,14,18,BENE,11293,2,S,38,B9,,BURNED,607,2023
106000501,91,85,PSME,48464,2,S,51,J2,,BURNED,619,2023
106000502,96,30,BENE,48887,1,S,32,J7,,BURNED,606,2023
106000503,8,95,BENE,12360,1,S,19,A1,,BURNED,623,2023
106000504,84,73,CESA,37651,2,S,29,I3,,BURNED,606,2023
106000505,62,61,BENE,12394,1,S,62,G4,,BURNED,622,2023
106000506,78,64,CEVE,47995,6,S,,H4,,BURNED,606,2023
106000507,11,20,BENE,47659,1,S,64,B8,,BURNED,607,2023
106000508,68,78,BENE,12348,1,S,54,G3,,BURNED,623,2023
106000509,96,24,BENE,48982,1,S,52,J8,,BURNED,623,2023
106000510,24,46,PSME,47646,1,S,125,C6,,BURNED,623,2023
106000511,22,39,CEVE,47787,6,S,,C7,,BURNED,622,2023
106000512,29,8,BENE,12314,1,S,25,C9,,BURNED,606,2023
106000513,62,35,BENE,48931,1,S,67,G7,,BURNED,623,2023
106000514,34,15,BENE,47903,1,S,33,D9,,BURNED,605,2023
106000515,95,23,BENE,48850,1,S,42,J8,,BURNED,606,2023
106000516,63,90,BENE,48872,1,S,67,G1,,BURNED,609,2023
106000517,28,58,CEVE,12358,1,S,65,C5,Tag replaced ,BURNED,622,2023
106000518,98,64,BENE,48929,1,S,115,G4,,BURNED,622,2023
106000519,67,41,ACMA,48842,1,S,60,G6,,BURNED,606,2023
106000520,47,4,PSME,48818,1,S,159,E10,,BURNED,619,2023
106000521,60,71,BENE,11217,2,S,69,G3,,BURNED,622,2023
106000522,37,8,CEVE,47767,1,S,144,D10,,BURNED,622,2023
106000523,3,71,PSME,48885,1,S,91,A3,,BURNED,609,2023
106000524,93,28,BENE,48965,1,S,40,J8,,BURNED,623,2023
106000525,12,26,PSME,47985,6,S,,B8,,BURNED,605,2023
106000526,24,77,PSME,11214,2,S,37,C3,,BURNED,607,2023
106000527,54,89,PSME,48916,1,S,133,F2,,BURNED,622,2023
106000528,82,58,CESA,47923,2,S,24,I4,,BURNED,606,2023
